Tokens:
==================================================
#include ('#include') at line 1, column 1
<iostream> ('<iostream>') at line 1, column 10
ID ('using') at line 2, column 1
ID ('namespace') at line 2, column 7
ID ('std') at line 2, column 17
; (';') at line 2, column 20
int ('int') at line 4, column 1
main ('main') at line 4, column 5
( ('(') at line 4, column 9
) (')') at line 4, column 10
{ ('{') at line 4, column 12
int ('int') at line 5, column 5
ID ('bad1') at line 5, column 9
= ('=') at line 5, column 14
; (';') at line 5, column 20
int ('int') at line 6, column 5
ID ('bad2') at line 6, column 9
= ('=') at line 6, column 14
; (';') at line 6, column 21
int ('int') at line 7, column 5
ID ('bad3') at line 7, column 9
= ('=') at line 7, column 14
; (';') at line 7, column 21
int ('int') at line 8, column 5
ID ('bad4') at line 8, column 9
= ('=') at line 8, column 14
+ ('+') at line 8, column 16
; (';') at line 8, column 17
int ('int') at line 9, column 5
ID ('bad5') at line 9, column 9
= ('=') at line 9, column 14
- ('-') at line 9, column 16
; (';') at line 9, column 19
int ('int') at line 11, column 5
ID ('bad6') at line 11, column 9
= ('=') at line 11, column 14
; (';') at line 11, column 21
int ('int') at line 12, column 5
ID ('bad7') at line 12, column 9
= ('=') at line 12, column 14
; (';') at line 12, column 20
int ('int') at line 13, column 5
ID ('bad8') at line 13, column 9
= ('=') at line 13, column 14
; (';') at line 13, column 22
int ('int') at line 14, column 5
ID ('bad15') at line 14, column 9
= ('=') at line 14, column 15
; (';') at line 14, column 23
int ('int') at line 16, column 5
ID ('bad13') at line 16, column 9
= ('=') at line 16, column 15
; (';') at line 16, column 22
int ('int') at line 18, column 5
ID ('bad14') at line 18, column 9
= ('=') at line 18, column 15
; (';') at line 18, column 23
int ('int') at line 19, column 5
ID ('bad12') at line 19, column 9
= ('=') at line 19, column 15
; (';') at line 19, column 23
int ('int') at line 20, column 5
ID ('bad1555') at line 20, column 9
= ('=') at line 20, column 17
CONST ('00000') at line 20, column 19
; (';') at line 20, column 24
return ('return') at line 22, column 5
CONST ('0') at line 22, column 12
; (';') at line 22, column 13
} ('}') at line 23, column 1
