FIP - Internal Program Form (Readable Format)
==========================================================================================
Token                Code       TS Position     Atom                
------------------------------------------------------------------------------------------
#include             0          -               -                   
<iostream>           1          -               -                   
ID                   100        65              using               
ID                   100        47              namespace           
ID                   100        81              std                 
;                    44         -               -                   
int                  3          -               -                   
main                 5          -               -                   
(                    40         -               -                   
)                    41         -               -                   
{                    42         -               -                   
int                  3          -               -                   
ID                   100        92              dec1                
=                    20         -               -                   
CONST                101        48              0                   
;                    44         -               -                   
int                  3          -               -                   
ID                   100        93              dec2                
=                    20         -               -                   
CONST                101        8               123                 
;                    44         -               -                   
int                  3          -               -                   
ID                   100        94              dec3                
=                    20         -               -                   
+                    21         -               -                   
CONST                101        58              456                 
;                    44         -               -                   
int                  3          -               -                   
ID                   100        95              dec4                
=                    20         -               -                   
-                    22         -               -                   
CONST                101        7               789                 
;                    44         -               -                   
int                  3          -               -                   
ID                   100        67              oct1                
=                    20         -               -                   
CONST                101        28              07                  
;                    44         -               -                   
int                  3          -               -                   
ID                   100        68              oct2                
=                    20         -               -                   
CONST                101        18              0123                
;                    44         -               -                   
int                  3          -               -                   
ID                   100        20              hex1                
=                    20         -               -                   
CONST                101        70              0x1A3F              
;                    44         -               -                   
int                  3          -               -                   
ID                   100        21              hex2                
=                    20         -               -                   
CONST                101        59              0XFF                
;                    44         -               -                   
int                  3          -               -                   
ID                   100        22              hex3                
=                    20         -               -                   
CONST                101        32              0xabc               
;                    44         -               -                   
int                  3          -               -                   
ID                   100        23              hex4                
=                    20         -               -                   
CONST                101        80              0XAbC               
;                    44         -               -                   
int                  3          -               -                   
ID                   100        43              bin1                
=                    20         -               -                   
CONST                101        12              0b1010              
;                    44         -               -                   
int                  3          -               -                   
ID                   100        44              bin2                
=                    20         -               -                   
CONST                101        63              0B1101              
;                    44         -               -                   
int                  3          -               -                   
ID                   100        96              ui                  
=                    20         -               -                   
CONST                101        62              123u                
;                    44         -               -                   
int                  3          -               -                   
ID                   100        99              ul                  
=                    20         -               -                   
CONST                101        71              456UL               
;                    44         -               -                   
int                  3          -               -                   
ID                   100        24              ll                  
=                    20         -               -                   
CONST                101        83              789ll               
;                    44         -               -                   
int                  3          -               -                   
ID                   100        46              ull                 
=                    20         -               -                   
CONST                101        38              1'000'000ULL        
;                    44         -               -                   
return               6          -               -                   
CONST                101        48              0                   
;                    44         -               -                   
}                    43         -               -                   
