Tokens:
==================================================
#include ('#include') at line 1, column 1
<iostream> ('<iostream>') at line 1, column 10
ID ('using') at line 2, column 1
ID ('namespace') at line 2, column 7
ID ('std') at line 2, column 17
; (';') at line 2, column 20
int ('int') at line 4, column 1
main ('main') at line 4, column 5
( ('(') at line 4, column 9
) (')') at line 4, column 10
{ ('{') at line 4, column 12
int ('int') at line 5, column 5
ID ('dec1') at line 5, column 9
= ('=') at line 5, column 14
CONST ('0') at line 5, column 16
; (';') at line 5, column 17
int ('int') at line 6, column 5
ID ('dec2') at line 6, column 9
= ('=') at line 6, column 14
CONST ('123') at line 6, column 16
; (';') at line 6, column 19
int ('int') at line 7, column 5
ID ('dec3') at line 7, column 9
= ('=') at line 7, column 14
+ ('+') at line 7, column 16
CONST ('456') at line 7, column 17
; (';') at line 7, column 20
int ('int') at line 8, column 5
ID ('dec4') at line 8, column 9
= ('=') at line 8, column 14
- ('-') at line 8, column 16
CONST ('789') at line 8, column 17
; (';') at line 8, column 20
int ('int') at line 10, column 5
ID ('oct1') at line 10, column 9
= ('=') at line 10, column 14
CONST ('07') at line 10, column 16
; (';') at line 10, column 18
int ('int') at line 11, column 5
ID ('oct2') at line 11, column 9
= ('=') at line 11, column 14
CONST ('0123') at line 11, column 16
; (';') at line 11, column 20
int ('int') at line 13, column 5
ID ('hex1') at line 13, column 9
= ('=') at line 13, column 14
CONST ('0x1A3F') at line 13, column 16
; (';') at line 13, column 22
int ('int') at line 14, column 5
ID ('hex2') at line 14, column 9
= ('=') at line 14, column 14
CONST ('0XFF') at line 14, column 16
; (';') at line 14, column 20
int ('int') at line 15, column 5
ID ('hex3') at line 15, column 9
= ('=') at line 15, column 14
CONST ('0xabc') at line 15, column 16
; (';') at line 15, column 21
int ('int') at line 16, column 5
ID ('hex4') at line 16, column 9
= ('=') at line 16, column 14
CONST ('0XAbC') at line 16, column 16
; (';') at line 16, column 21
int ('int') at line 18, column 5
ID ('bin1') at line 18, column 9
= ('=') at line 18, column 14
CONST ('0b1010') at line 18, column 16
; (';') at line 18, column 22
int ('int') at line 19, column 5
ID ('bin2') at line 19, column 9
= ('=') at line 19, column 14
CONST ('0B1101') at line 19, column 16
; (';') at line 19, column 22
int ('int') at line 21, column 5
ID ('ui') at line 21, column 9
= ('=') at line 21, column 12
CONST ('123u') at line 21, column 14
; (';') at line 21, column 18
int ('int') at line 22, column 5
ID ('ul') at line 22, column 9
= ('=') at line 22, column 12
CONST ('456UL') at line 22, column 14
; (';') at line 22, column 19
int ('int') at line 23, column 5
ID ('ll') at line 23, column 9
= ('=') at line 23, column 12
CONST ('789ll') at line 23, column 14
; (';') at line 23, column 19
int ('int') at line 24, column 5
ID ('ull') at line 24, column 9
= ('=') at line 24, column 13
CONST ('1'000'000ULL') at line 24, column 15
; (';') at line 24, column 27
return ('return') at line 26, column 5
CONST ('0') at line 26, column 12
; (';') at line 26, column 13
} ('}') at line 27, column 1
