FIP - Internal Program Form (Readable Format)
==========================================================================================
Token                Code       TS Position     Atom                
------------------------------------------------------------------------------------------
#include             0          -               -                   
<iostream>           1          -               -                   
int                  3          -               -                   
main                 5          -               -                   
(                    40         -               -                   
)                    41         -               -                   
{                    42         -               -                   
int                  3          -               -                   
ID                   100        9               n                   
,                    45         -               -                   
ID                   100        13              r                   
,                    45         -               -                   
ID                   100        14              s                   
=                    20         -               -                   
CONST                101        48              0                   
;                    44         -               -                   
std::cin             10         -               -                   
>>                   32         -               -                   
ID                   100        9               n                   
;                    44         -               -                   
while                9          -               -                   
(                    40         -               -                   
ID                   100        9               n                   
!=                   29         -               -                   
CONST                101        48              0                   
)                    41         -               -                   
{                    42         -               -                   
std::cin             10         -               -                   
>>                   32         -               -                   
ID                   100        13              r                   
;                    44         -               -                   
ID                   100        14              s                   
+                    21         -               -                   
=                    20         -               -                   
ID                   100        13              r                   
;                    44         -               -                   
ID                   100        9               n                   
--                   27         -               -                   
;                    44         -               -                   
}                    43         -               -                   
std::cout            11         -               -                   
<<                   33         -               -                   
ID                   100        14              s                   
<<                   33         -               -                   
std::endl            12         -               -                   
;                    44         -               -                   
return               6          -               -                   
CONST                101        48              0                   
;                    44         -               -                   
}                    43         -               -                   
