FIP - Internal Program Form (Readable Format)
==========================================================================================
Token                Code       TS Position     Atom                
------------------------------------------------------------------------------------------
#include             0          -               -                   
<iostream>           1          -               -                   
struct               2          -               -                   
ID                   100        32              Cerc                
{                    42         -               -                   
double               4          -               -                   
ID                   100        13              r                   
;                    44         -               -                   
double               4          -               -                   
ID                   100        86              init                
(                    40         -               -                   
double               4          -               -                   
ID                   100        13              r                   
)                    41         -               -                   
{                    42         -               -                   
this->               13         -               -                   
ID                   100        13              r                   
=                    20         -               -                   
ID                   100        13              r                   
;                    44         -               -                   
return               6          -               -                   
ID                   100        13              r                   
;                    44         -               -                   
}                    43         -               -                   
double               4          -               -                   
ID                   100        49              perimetru           
(                    40         -               -                   
)                    41         -               -                   
{                    42         -               -                   
return               6          -               -                   
CONST                101        50              2                   
*                    23         -               -                   
CONST                101        22              3.14                
*                    23         -               -                   
ID                   100        13              r                   
;                    44         -               -                   
}                    43         -               -                   
double               4          -               -                   
ID                   100        4               aria                
(                    40         -               -                   
)                    41         -               -                   
{                    42         -               -                   
return               6          -               -                   
CONST                101        22              3.14                
*                    23         -               -                   
ID                   100        13              r                   
*                    23         -               -                   
ID                   100        13              r                   
;                    44         -               -                   
}                    43         -               -                   
}                    43         -               -                   
;                    44         -               -                   
int                  3          -               -                   
main                 5          -               -                   
(                    40         -               -                   
)                    41         -               -                   
{                    42         -               -                   
ID                   100        32              Cerc                
ID                   100        99              c                   
;                    44         -               -                   
double               4          -               -                   
ID                   100        13              r                   
;                    44         -               -                   
std::cin             10         -               -                   
>>                   32         -               -                   
ID                   100        13              r                   
;                    44         -               -                   
ID                   100        99              c                   
.                    46         -               -                   
ID                   100        86              init                
(                    40         -               -                   
ID                   100        13              r                   
)                    41         -               -                   
;                    44         -               -                   
std::cout            11         -               -                   
<<                   33         -               -                   
"                    47         -               -                   
ID                   100        89              Perimetru           
"                    47         -               -                   
<<                   33         -               -                   
ID                   100        99              c                   
.                    46         -               -                   
ID                   100        49              perimetru           
(                    40         -               -                   
)                    41         -               -                   
<<                   33         -               -                   
std::endl            12         -               -                   
;                    44         -               -                   
std::cout            11         -               -                   
<<                   33         -               -                   
"                    47         -               -                   
ID                   100        31              Aria                
"                    47         -               -                   
<<                   33         -               -                   
ID                   100        99              c                   
.                    46         -               -                   
ID                   100        4               aria                
(                    40         -               -                   
)                    41         -               -                   
<<                   33         -               -                   
std::endl            12         -               -                   
;                    44         -               -                   
return               6          -               -                   
CONST                101        48              0                   
;                    44         -               -                   
}                    43         -               -                   
