Tokens:
==================================================
#include ('#include') at line 1, column 1
<iostream> ('<iostream>') at line 1, column 10
STRUCT ('struct') at line 3, column 1
ID ('Cerc') at line 3, column 8
{ ('{') at line 3, column 13
double ('double') at line 4, column 5
ID ('r') at line 4, column 12
; (';') at line 4, column 13
double ('double') at line 6, column 5
ID ('init') at line 6, column 12
( ('(') at line 6, column 16
double ('double') at line 6, column 17
ID ('r') at line 6, column 24
) (')') at line 6, column 25
{ ('{') at line 6, column 27
this-> ('this->') at line 7, column 9
ID ('r') at line 7, column 15
= ('=') at line 7, column 17
ID ('r') at line 7, column 19
; (';') at line 7, column 20
return ('return') at line 8, column 9
ID ('r') at line 8, column 16
; (';') at line 8, column 17
} ('}') at line 9, column 5
double ('double') at line 11, column 5
ID ('perimetru') at line 11, column 12
( ('(') at line 11, column 21
) (')') at line 11, column 22
{ ('{') at line 11, column 24
return ('return') at line 12, column 9
CONST ('2') at line 12, column 16
* ('*') at line 12, column 18
CONST ('3.14') at line 12, column 20
* ('*') at line 12, column 25
ID ('r') at line 12, column 27
; (';') at line 12, column 28
} ('}') at line 13, column 5
double ('double') at line 15, column 5
ID ('aria') at line 15, column 12
( ('(') at line 15, column 16
) (')') at line 15, column 17
{ ('{') at line 15, column 19
return ('return') at line 16, column 9
CONST ('3.14') at line 16, column 16
* ('*') at line 16, column 21
ID ('r') at line 16, column 23
* ('*') at line 16, column 25
ID ('r') at line 16, column 27
; (';') at line 16, column 28
} ('}') at line 17, column 5
} ('}') at line 18, column 1
; (';') at line 18, column 2
int ('int') at line 20, column 1
main ('main') at line 20, column 5
( ('(') at line 20, column 9
) (')') at line 20, column 10
{ ('{') at line 20, column 12
ID ('Cerc') at line 21, column 5
ID ('c') at line 21, column 10
; (';') at line 21, column 11
double ('double') at line 22, column 5
ID ('r') at line 22, column 12
; (';') at line 22, column 13
std::cin ('std::cin') at line 23, column 5
>> ('>>') at line 23, column 14
ID ('r') at line 23, column 17
; (';') at line 23, column 18
ID ('c') at line 24, column 5
. ('.') at line 24, column 6
ID ('init') at line 24, column 7
( ('(') at line 24, column 11
ID ('r') at line 24, column 12
) (')') at line 24, column 13
; (';') at line 24, column 14
std::cout ('std::cout') at line 25, column 5
<< ('<<') at line 25, column 15
" ('"') at line 25, column 18
ID ('Perimetru') at line 25, column 19
" ('"') at line 25, column 29
<< ('<<') at line 25, column 31
ID ('c') at line 25, column 34
. ('.') at line 25, column 35
ID ('perimetru') at line 25, column 36
( ('(') at line 25, column 45
) (')') at line 25, column 46
<< ('<<') at line 25, column 48
std::endl ('std::endl') at line 25, column 51
; (';') at line 25, column 60
std::cout ('std::cout') at line 26, column 5
<< ('<<') at line 26, column 15
" ('"') at line 26, column 18
ID ('Aria') at line 26, column 19
" ('"') at line 26, column 24
<< ('<<') at line 26, column 26
ID ('c') at line 26, column 29
. ('.') at line 26, column 30
ID ('aria') at line 26, column 31
( ('(') at line 26, column 35
) (')') at line 26, column 36
<< ('<<') at line 26, column 38
std::endl ('std::endl') at line 26, column 41
; (';') at line 26, column 50
return ('return') at line 28, column 5
CONST ('0') at line 28, column 12
; (';') at line 28, column 13
} ('}') at line 29, column 1
