FIP - Internal Program Form (Readable Format)
==========================================================================================
Token                Code       TS Position     Atom                
------------------------------------------------------------------------------------------
#include             0          -               -                   
<iostream>           1          -               -                   
int                  3          -               -                   
main                 5          -               -                   
(                    40         -               -                   
)                    41         -               -                   
{                    42         -               -                   
int                  3          -               -                   
ID                   100        97              a                   
,                    45         -               -                   
ID                   100        98              b                   
,                    45         -               -                   
ID                   100        13              r                   
;                    44         -               -                   
std::cin             10         -               -                   
>>                   32         -               -                   
ID                   100        97              a                   
>>                   32         -               -                   
ID                   100        98              b                   
;                    44         -               -                   
if                   7          -               -                   
(                    40         -               -                   
ID                   100        97              a                   
==                   28         -               -                   
CONST                101        48              0                   
)                    41         -               -                   
{                    42         -               -                   
std::cout            11         -               -                   
<<                   33         -               -                   
ID                   100        98              b                   
<<                   33         -               -                   
std::endl            12         -               -                   
;                    44         -               -                   
}                    43         -               -                   
else                 8          -               -                   
{                    42         -               -                   
while                9          -               -                   
(                    40         -               -                   
ID                   100        98              b                   
!=                   29         -               -                   
CONST                101        48              0                   
)                    41         -               -                   
{                    42         -               -                   
ID                   100        13              r                   
=                    20         -               -                   
ID                   100        97              a                   
%                    25         -               -                   
ID                   100        98              b                   
;                    44         -               -                   
ID                   100        97              a                   
=                    20         -               -                   
ID                   100        98              b                   
;                    44         -               -                   
ID                   100        98              b                   
=                    20         -               -                   
ID                   100        13              r                   
;                    44         -               -                   
}                    43         -               -                   
std::cout            11         -               -                   
<<                   33         -               -                   
ID                   100        97              a                   
<<                   33         -               -                   
std::endl            12         -               -                   
;                    44         -               -                   
}                    43         -               -                   
return               6          -               -                   
CONST                101        48              0                   
;                    44         -               -                   
}                    43         -               -                   
