Token_Code TS_Position
=======================
0 -1
1 -1
100 1
100 2
100 3
44 -1
3 -1
5 -1
40 -1
41 -1
42 -1
3 -1
100 4
20 -1
101 1
101 2
44 -1
3 -1
100 5
20 -1
101 1
101 1
100 6
44 -1
3 -1
100 7
20 -1
101 1
100 8
44 -1
3 -1
100 9
20 -1
21 -1
44 -1
3 -1
100 10
20 -1
22 -1
101 1
100 11
44 -1
3 -1
100 12
20 -1
101 3
100 13
44 -1
3 -1
100 14
20 -1
101 4
100 15
44 -1
3 -1
100 16
20 -1
101 5
100 17
44 -1
3 -1
100 18
20 -1
101 5
100 19
44 -1
3 -1
100 20
20 -1
101 1
100 21
44 -1
3 -1
100 22
20 -1
101 1
100 23
44 -1
3 -1
100 24
20 -1
101 1
101 6
100 25
44 -1
3 -1
100 26
20 -1
101 1
101 1
101 1
101 1
101 1
44 -1
6 -1
101 1
44 -1
43 -1
