Tip Matrice,Nr threads,Timp executie,Timp executie (s)
Matrice 10x10,secvential,4900 ns,0.000005
Matrice 10x10,2,616350 ns,0.000616
Matrice 1000x1000,secvential,31842760 ns,0.031843
Matrice 1000x1000,2,22542110 ns,0.022542
Matrice 1000x1000,4,15424380 ns,0.015424
Matrice 1000x1000,8,10987600 ns,0.010988
Matrice 1000x1000,16,11939920 ns,0.011940
Matrice 10000x10000,secvential,3065328830 ns,3.065329
Matrice 10000x10000,2,1767015770 ns,1.767016
Matrice 10000x10000,4,987240540 ns,0.987241
Matrice 10000x10000,8,810458630 ns,0.810459
Matrice 10000x10000,16,708460710 ns,0.708461
