Tip Matrice,Nr threads,Timp executie,Timp executie (s)
Matrice 10x10,secvential,91650 ns,0.000092
Matrice 10x10,2,4769730 ns,0.004770
Matrice 1000x1000,secvential,20109620 ns,0.020110
Matrice 1000x1000,2,35253520 ns,0.035254
Matrice 1000x1000,4,36219740 ns,0.036220
Matrice 1000x1000,8,39355000 ns,0.039355
Matrice 1000x1000,16,42269360 ns,0.042269
Matrice 10000x10000,secvential,723005170 ns,0.723005
Matrice 10000x10000,2,452370520 ns,0.452371
Matrice 10000x10000,4,375744270 ns,0.375744
Matrice 10000x10000,8,317452340 ns,0.317452
Matrice 10000x10000,16,270756050 ns,0.270756
