Test Size,Varianta,Nr Procese,Timp Mediu (s),Timp Min (s),Timp Max (s)
16,Sequential,1 (Sequential),0.00357032,0.0032332,0.0044615
16,MPI Standard,5,0.00545421,0.0052118,0.0064724
16,MPI Scatter/Gather,4,0.00522116,0.0048556,0.0063645
16,MPI Asynchronous,5,0.0056199,0.0052782,0.0061922
1000,Sequential,1 (Sequential),0.00726478,0.0036265,0.0382348
1000,MPI Standard,5,0.01723214,0.0167504,0.0182092
1000,MPI Standard,9,0.01945997,0.0174466,0.0268735
1000,MPI Standard,17,0.02243873,0.0194416,0.0255188
1000,MPI Scatter/Gather,4,0.00555247,0.0052868,0.0057863
1000,MPI Scatter/Gather,8,0.00766368,0.0068518,0.0084758
1000,MPI Scatter/Gather,16,0.01091677,0.0094297,0.01236
1000,MPI Asynchronous,5,0.01734996,0.0169037,0.0184166
1000,MPI Asynchronous,9,0.01910527,0.0173785,0.0223172
1000,MPI Asynchronous,17,0.02768428,0.0223109,0.030764
10000,Sequential,1 (Sequential),0.04169641,0.0398781,0.048569
10000,MPI Standard,5,0.2209664,0.214593,0.230453
10000,MPI Standard,9,0.2247276,0.216074,0.253469
10000,MPI Standard,17,0.2527192,0.241969,0.273507
10000,MPI Scatter/Gather,4,0.05293427,0.0456331,0.0603515
10000,MPI Scatter/Gather,8,0.05092736,0.0425559,0.0574196
10000,MPI Scatter/Gather,16,0.06366234,0.0589424,0.0697948
10000,MPI Asynchronous,5,0.2196454,0.214687,0.226847
10000,MPI Asynchronous,9,0.2318991,0.219653,0.242998
10000,MPI Asynchronous,17,0.2422376,0.232318,0.267811
100_100000,Sequential,1 (Sequential),0.06355323,0.0588581,0.0718315
100_100000,MPI Standard,5,1.0148664,0.964025,1.18892
100_100000,MPI Standard,9,1.0181757,0.977413,1.07907
100_100000,MPI Standard,17,1.0227908,0.985471,1.12689
100_100000,MPI Scatter/Gather,4,0.06258864,0.0582113,0.0703301
100_100000,MPI Scatter/Gather,8,0.06577878,0.0605856,0.0761851
100_100000,MPI Scatter/Gather,16,0.07268924,0.0633818,0.0788275
100_100000,MPI Asynchronous,5,1.169117,1.02394,1.49332
100_100000,MPI Asynchronous,9,1.0052283,0.970402,1.11291
100_100000,MPI Asynchronous,17,0.9930481,0.978057,1.01876
